N,D,bonus,condition,seed,update,eat0,eat1,selectivity,prevalence,zaps,ret
12,100,2,none,0,105,98.1640625,105.51171875,0.0,0.0,17.54296875,-9.948307991027832
12,100,2,none,0,106,97.98828125,105.55859375,0.0,0.0,17.28125,-9.908723831176758
12,100,2,none,0,107,97.1953125,106.58984375,0.0,0.0,17.53125,-9.551985740661621
12,100,2,none,0,108,98.73828125,106.54296875,0.0,0.0,16.94921875,-9.634733200073242
12,100,2,none,0,109,97.203125,106.59765625,0.0,0.0,17.4296875,-9.542610168457031
12,100,2,none,0,110,97.9140625,106.546875,0.0,0.0,17.2734375,-9.791471481323242
12,100,2,none,0,111,97.78125,106.53515625,0.0,0.0,16.84765625,-9.671517372131348
12,100,2,none,0,112,98.4921875,106.02734375,0.0,0.0,16.72265625,-9.581575393676758
12,100,2,none,0,113,97.796875,107.69140625,0.0,0.0,16.59375,-9.366341590881348
12,100,2,none,0,114,98.9375,107.73046875,0.0,0.0,16.1953125,-9.581347465515137
12,100,2,none,0,115,97.3125,107.54296875,0.0,0.0,16.72265625,-9.575813293457031
12,100,2,none,0,116,97.734375,107.80859375,0.0,0.0,16.69921875,-9.555925369262695
12,100,2,none,0,117,98.6328125,107.0859375,0.0,0.0,16.55859375,-9.509244918823242
12,100,2,none,0,118,98.4453125,107.53515625,0.0,0.0,16.4296875,-9.393913269042969
12,100,2,none,0,119,98.25390625,107.81640625,0.0,0.0,16.72265625,-9.505631446838379
12,100,2,none,0,120,97.9921875,107.60546875,0.0,0.0,16.22265625,-9.398959159851074
12,100,2,none,0,121,98.69140625,107.4453125,0.0,0.0,15.875,-9.488801956176758
12,100,2,none,0,122,97.57421875,108.328125,0.0,0.0,16.07421875,-9.104134559631348
12,100,2,none,0,123,97.8671875,108.66015625,0.0,0.0,15.7578125,-9.201789855957031
12,100,2,none,0,124,98.0703125,107.7734375,0.0,0.0,16.09765625,-9.284895896911621
12,100,2,none,0,125,98.3671875,108.3046875,0.0,0.0,15.69921875,-9.130566596984863
12,100,2,none,0,126,98.44921875,109.23046875,0.0,0.0,15.40625,-9.095703125
12,100,2,none,0,127,99.3359375,107.8671875,0.0,0.0,15.43359375,-9.298210144042969
12,100,2,none,0,128,98.6953125,110.10546875,0.0,0.0,15.5078125,-9.165071487426758
12,100,2,none,0,129,98.72265625,109.08203125,0.0,0.0,15.4453125,-9.03720760345459
12,100,2,none,0,130,98.76171875,108.6796875,0.0,0.0,15.234375,-8.979622840881348
12,100,2,none,0,131,99.13671875,108.390625,0.0,0.0,15.0390625,-9.028353691101074
12,100,2,none,0,132,99.72265625,109.9375,0.0,0.0,14.8359375,-9.037337303161621
12,100,2,none,0,133,98.5546875,108.60546875,0.0,0.0,14.7109375,-8.88632869720459
12,100,2,none,0,134,99.09765625,108.72265625,0.0,0.0,14.6953125,-8.971582412719727
12,100,2,none,0,135,99.875,109.3671875,0.0,0.0,14.88671875,-9.036556243896484
12,100,2,none,0,136,98.72265625,110.20703125,0.0,0.0,14.6796875,-8.7138671875
12,100,2,none,0,137,98.4140625,110.44921875,0.0,0.0,14.7109375,-8.481510162353516
12,100,2,none,0,138,98.8359375,110.46875,0.0,0.0,14.7265625,-8.746289253234863
12,100,2,none,0,139,98.171875,110.62109375,0.0,0.0,14.51171875,-8.536556243896484
12,100,2,none,0,140,98.24609375,111.02734375,0.0,0.0,14.55859375,-8.458431243896484
12,100,2,none,0,141,99.078125,110.33984375,0.0,0.0,14.74609375,-8.59375
12,100,2,none,0,142,99.703125,110.328125,0.0,0.0,14.04296875,-8.577962875366211
12,100,2,none,0,143,99.4453125,110.51171875,0.0,0.0,13.98828125,-8.581413269042969
12,100,2,none,0,144,99.09765625,110.6953125,0.0,0.0,14.07421875,-8.468391418457031
12,100,2,none,0,145,98.5,110.3828125,0.0,0.0,14.1796875,-8.451171875
12,100,2,none,0,146,99.796875,110.16796875,0.0,0.0,14.01171875,-8.675944328308105
12,100,2,none,0,147,98.80078125,111.61328125,0.0,0.0,13.7578125,-8.28232479095459
12,100,2,none,0,148,98.6953125,111.7109375,0.0,0.0,13.83203125,-8.285286903381348
12,100,2,none,0,149,98.68359375,110.359375,0.0,0.0,13.74609375,-8.310026168823242
12,100,2,none,0,150,98.67578125,111.39453125,0.0,0.0,13.52734375,-8.11181640625
12,100,2,none,0,151,98.19921875,111.3046875,0.0,0.0,13.6875,-8.232292175292969
12,100,2,none,0,152,99.1796875,110.9609375,0.0,0.0,13.5078125,-8.252994537353516
12,100,2,none,0,153,99.44921875,111.171875,0.0,0.0,13.0859375,-8.427507400512695
12,100,2,none,0,154,99.765625,109.70703125,0.0,0.0,13.01171875,-8.366991996765137
12,100,2,none,0,155,99.5078125,111.03515625,0.0,0.0,12.94140625,-8.158496856689453
12,100,2,none,0,156,99.90625,111.0078125,0.0,0.0,12.78125,-8.283984184265137
12,100,2,none,0,157,100.10546875,110.66015625,0.0,0.0,13.06640625,-8.29755973815918
12,100,2,none,0,158,99.07421875,110.55078125,0.0,0.0,12.98046875,-8.087141990661621
12,100,2,none,0,159,99.6484375,110.48828125,0.0,0.0,13.046875,-8.31992244720459
12,100,2,none,0,160,100.35546875,111.87890625,0.0,0.0,12.6640625,-8.220703125
12,100,2,none,0,161,99.1796875,112.09765625,0.0,0.0,12.48828125,-8.138705253601074
12,100,2,none,0,162,100.140625,110.0078125,0.0,0.0,12.796875,-8.270963668823242
12,100,2,none,0,163,98.96875,111.5859375,0.0,0.0,12.5078125,-8.042708396911621
12,100,2,none,0,164,99.765625,111.921875,0.0,0.0,12.82421875,-8.141927719116211
12,100,2,none,0,165,99.3671875,112.5390625,0.0,0.0,12.19921875,-7.926887512207031
12,100,2,none,0,166,100.171875,110.7109375,0.0,0.0,12.65234375,-8.12666130065918
12,100,2,none,0,167,100.01953125,112.13671875,0.0,0.0,12.1171875,-7.909603118896484
12,100,2,none,0,168,99.140625,112.93359375,0.0,0.0,12.23828125,-7.799901962280273
