N,D,bonus,condition,seed,update,eat0,eat1,enc0,enc1,selectivity,prevalence,zaps,ret
12,100,8.75,0,1,679,55.63671875,67.44140625,265.07421875,266.1484375,0.6543527245521545,0.36573752760887146,19.5703125,-27.499889373779297
12,100,8.75,0,1,680,55.3046875,67.78125,261.8046875,269.31640625,0.6666774749755859,0.3660672903060913,19.52734375,-27.193296432495117
12,100,8.75,0,1,681,54.54296875,67.3828125,259.984375,266.109375,0.6410602331161499,0.3576332926750183,19.96875,-27.678258895874023
12,100,8.75,0,1,682,54.2890625,67.48046875,253.69921875,267.0078125,0.6649689674377441,0.35893628001213074,19.671875,-27.260746002197266
12,100,8.75,0,1,683,54.33984375,66.0234375,262.046875,264.98046875,0.670674204826355,0.3610280454158783,19.859375,-27.53999137878418
12,100,8.75,0,1,684,54.3515625,66.9921875,261.6875,267.16796875,0.6728329658508301,0.35911646485328674,19.70703125,-27.359493255615234
12,100,8.75,0,1,685,54.046875,67.22265625,259.93359375,268.12890625,0.6511338353157043,0.35832005739212036,20.54296875,-28.295852661132812
12,100,8.75,0,1,686,53.53515625,66.87109375,254.61328125,268.54296875,0.6431630849838257,0.3568967878818512,20.3359375,-28.08247184753418
12,100,8.75,0,1,687,54.4765625,66.71875,263.71875,271.76953125,0.6340959072113037,0.36136868596076965,20.1328125,-28.028827667236328
12,100,8.75,0,1,688,54.10546875,67.3515625,260.1015625,271.875,0.6160876154899597,0.35946452617645264,19.40234375,-27.37109375
12,100,8.75,0,1,689,53.75390625,68.0390625,259.78515625,271.6953125,0.6657312512397766,0.3591541349887848,19.62109375,-27.16469955444336
12,100,8.75,0,1,690,54.8359375,65.63671875,262.63671875,261.83984375,0.627349317073822,0.3624184727668762,19.671875,-27.72420310974121
12,100,8.75,0,1,691,54.68359375,65.8984375,260.87890625,261.703125,0.6106889247894287,0.36086973547935486,19.78125,-27.871845245361328
12,100,8.75,0,1,692,55.12109375,66.0703125,260.46484375,261.20703125,0.6475273966789246,0.3600930869579315,19.1484375,-26.988561630249023
12,100,8.75,0,1,693,55.05859375,65.50390625,260.3046875,258.1171875,0.6776993870735168,0.36318376660346985,19.6796875,-27.493038177490234
12,100,8.75,0,1,694,54.4140625,65.328125,257.5390625,258.4296875,0.679863452911377,0.35888582468032837,18.859375,-26.562047958374023
12,100,8.75,0,1,695,54.8671875,64.46484375,256.125,253.48046875,0.6744002103805542,0.35862183570861816,18.703125,-26.453712463378906
12,100,8.75,0,1,696,55.21484375,65.5234375,259.46484375,255.42578125,0.6635616421699524,0.36204084753990173,18.50390625,-26.271780014038086
12,100,8.75,0,1,697,54.64453125,66.2734375,256.89453125,257.94140625,0.6730176210403442,0.35950323939323425,19.05078125,-26.550390243530273
